Scen	Var	Perc	2022.0	2022.25	2022.5	2022.75	2023.0	2023.25	2023.5	2023.75	2024.0	2024.25	2024.5	2024.75	2025.0	2025.25	2025.5	2025.75	2026.0	2026.25	2026.5	2026.75	2027.0	2027.25	2027.5	2027.75	2028.0	2028.25	2028.5	2028.75	2029.0	2029.25	2029.5	2029.75	2030.0	2030.25	2030.5	2030.75	2031.0	2031.25	2031.5	2031.75	2032.0
None	Total with UD	0.025	3501620.0	3460708.0	3419285.0	3376826.0	3334758.0	3293690.0	3252949.0	3212134.5	3171537.0	3131016.0	3091260.5	3051489.0	3012989.5	2974660.0	2937152.0	2900890.0	2864054.0	2828812.0	2794238.5	2758432.0	2724302.0	2691885.5	2657729.5	2624924.0	2592360.0	2561569.5	2531948.0	2502900.0	2474434.5	2445968.0	2418587.0	2392466.5	2366050.0	2340123.0	2314639.0	2289070.0	2265113.5	2242069.0	2219379.5	2196096.5	2173226.5
None	Total with UD	0.05	3522600.0	3481490.0	3440294.0	3398596.0	3357277.0	3317028.0	3276040.0	3236040.0	3195710.0	3154980.0	3114741.0	3076456.0	3038836.0	3000247.0	2961600.0	2924785.0	2887489.0	2851793.0	2816280.0	2780926.0	2747516.0	2714135.0	2681140.0	2649262.0	2617204.0	2585999.0	2555695.0	2526332.0	2497599.0	2469900.0	2442150.0	2414998.0	2387825.0	2361409.0	2335578.0	2310525.0	2286515.0	2262206.0	2239260.0	2216502.0	2193927.0
None	Total with UD	0.1	3548616.0	3508392.0	3467400.0	3426630.0	3386084.0	3345200.0	3304288.0	3263566.0	3222772.0	3182120.0	3142544.0	3103320.0	3065250.0	3027776.0	2990148.0	2953666.0	2917032.0	2880192.0	2845516.0	2811652.0	2777466.0	2744648.0	2711830.0	2679480.0	2647870.0	2616750.0	2586628.0	2556728.0	2527766.0	2499356.0	2471682.0	2443942.0	2417034.0	2391220.0	2365570.0	2341064.0	2316354.0	2292790.0	2269844.0	2247614.0	2225600.0
None	Total with UD	0.25	3592140.0	3552100.0	3512025.0	3471320.0	3430720.0	3390110.0	3349385.0	3309135.0	3268930.0	3229150.0	3190300.0	3151485.0	3113125.0	3074370.0	3037340.0	3000335.0	2963530.0	2928230.0	2893005.0	2858965.0	2825400.0	2792245.0	2759665.0	2727075.0	2696035.0	2665200.0	2635335.0	2605885.0	2576730.0	2548665.0	2520695.0	2493885.0	2467455.0	2441380.0	2416275.0	2391455.0	2366900.0	2343335.0	2320225.0	2297570.0	2275440.0
None	Total with UD	0.5	3638480.0	3598880.0	3559310.0	3519100.0	3478880.0	3438990.0	3399010.0	3359790.0	3320390.0	3281290.0	3242390.0	3204410.0	3166280.0	3129130.0	3092300.0	3055600.0	3019800.0	2984550.0	2949660.0	2915380.0	2881800.0	2849120.0	2816950.0	2785570.0	2754330.0	2723830.0	2693730.0	2664780.0	2636260.0	2607900.0	2580320.0	2553790.0	2527480.0	2501560.0	2476090.0	2450990.0	2426440.0	2402710.0	2379410.0	2356590.0	2334330.0
None	Total with UD	0.75	3687675.0	3648850.0	3609255.0	3570140.0	3530420.0	3490760.0	3451240.0	3412240.0	3373300.0	3334965.0	3297045.0	3258990.0	3221450.0	3184400.0	3147970.0	3111750.0	3076365.0	3041930.0	3007940.0	2974510.0	2941205.0	2909110.0	2876480.0	2844930.0	2813940.0	2783545.0	2753580.0	2724155.0	2694940.0	2667035.0	2639300.0	2612145.0	2585480.0	2559515.0	2534230.0	2509300.0	2484560.0	2460775.0	2437340.0	2414670.0	2392235.0
None	Total with UD	0.9	3728342.0	3689644.0	3651160.0	3612196.0	3573168.0	3533732.0	3494980.0	3455932.0	3417492.0	3379690.0	3341452.0	3303776.0	3266698.0	3229932.0	3194080.0	3157790.0	3122754.0	3088948.0	3055330.0	3022342.0	2989710.0	2957620.0	2925324.0	2894400.0	2863664.0	2833770.0	2804346.0	2775590.0	2746806.0	2718830.0	2690934.0	2663682.0	2637178.0	2611468.0	2585922.0	2561388.0	2536388.0	2512310.0	2488634.0	2465512.0	2442796.0
None	Total with UD	0.95	3752931.0	3714244.0	3676288.0	3637272.9999999995	3597674.0	3558654.0	3519771.0	3481116.0	3442765.0	3404265.0	3366660.0	3329339.0	3292176.0	3255800.0	3219470.0	3184733.0	3150614.0	3117021.0	3083083.0	3050216.0	3017585.0	2985782.0	2953827.0	2922600.0	2891706.0	2862525.0	2832645.9999999995	2803805.0	2774835.0	2747700.0	2719866.0	2692665.9999999995	2665936.0	2639980.0	2614242.0	2589147.0	2564982.0	2541085.0	2517609.9999999995	2494989.0	2472553.0
None	Total with UD	0.975	3770923.5	3732903.0	3694501.0	3656136.0	3617355.0	3578854.0	3540053.0	3503210.5000000005	3464978.5	3427254.5	3389355.0	3352484.5	3317240.5	3279236.0	3243267.0	3207894.5	3173680.0	3139304.0	3106787.0	3073507.5	3041241.0	3008744.0	2977807.5	2948452.5	2917533.0	2887003.5	2857677.0	2828679.0	2800670.5	2772778.5	2745228.0	2718372.5	2692132.0	2666281.5	2640777.0	2615489.5	2591098.0	2566397.0000000005	2543091.0	2519680.0	2496216.5
None	Total with UD	EV	3605100.0	3565060.0	3524740.0	3484220.0	3443580.0	3402900.0	3362240.0	3321660.0	3281220.0	3240960.0	3200990.0	3162170.0	3124470.0	3087700.0	3051720.0	3016460.0	2981870.0	2947900.0	2914520.0	2881720.0	2849470.0	2817770.0	2786590.0	2755940.0	2725810.0	2696180.0	2667060.0	2638440.0	2610310.0	2582670.0	2555530.0	2528860.0	2502670.0	2476970.0	2451730.0	2426960.0	2402810.0	2379370.0	2356560.0	2334320.0	2312590.0
