Run	Perc	ADF effect strength initiating heroin with Rx OUD	Base survival probability H OD relative to Rx	Base survival probability Rx OD	Developing HUD rate no Rx OUD	Developing HUD rate with Rx OUD	Developing Rx OUD rate	Fentanyl effect on base survival max relative to H	Fentanyl effect on OD rate H max	Fraction Nx kits to H users	Heroin availability strength developing HUD	Heroin availability strength initiating NDHU no Rx	Heroin availability strength net quit NDHU	Initial stock correction[RXM]	Initial stock correction[NDH]	Initial stock correction[OUB]	Initial stock correction[OUM]	Initial stock correction[OUV]	Initial stock correction[OUT]	Initial stock correction[OUR]	Initial stock correction[OUS]	Initial stock correction[OHB]	Initial stock correction[OHM]	Initial stock correction[OHV]	Initial stock correction[OHT]	Initial stock correction[OHR]	Initial stock correction[OHS]	Initial stock correction[HUB]	Initial stock correction[HUM]	Initial stock correction[HUV]	Initial stock correction[HUT]	Initial stock correction[HUR]	Initial stock correction[HUS]	Initiating heroin no Rx base	Initiating Rx misuse diverted base	Initiation rate heroin with Rx misuse	Initiation rate heroin with Rx OUD relative to Rx misuse	Initiation rate Rx misuse own Rx	Net quit rate heroin with Rx misuse	Net quit rate heroin with Rx OUD	Net quit rate NDHU	Net quit rate Rx misuse	NSDUH misuse redefinition fixed effect	Nx kit distribution efficiency	Overdose rate base HUD	Overdose rate NDHU relative to HUD	Overdose rate base Rx misuse	Overdose rate base Rx OUD	Overdose rate synth baseline	Perceived risk strength initiating heroin with Rx use	Perceived risk strength initiating NDHU no Rx	Perceived risk strength initiating Rx misuse diverted	Perceived risk strength initiating Rx misuse own Rx	Perceived risk strength net quit heroin with Rx OUD	Perceived risk strength net quit NDHU	Perceived risk strength net quit NDHU with Rx	Perceived risk strength net quit Rx misuse	Relapse rate HUD	Relapse rate Rx OUD relative to HUD	Remission rate Rx OUD relative to HUD	Rx availability strength developing Rx OUD	Rx availability strength initiating Rx misuse	Rx availability strength net quit Rx misuse	Rx vs H availability strength developing HUD with Rx OUD	Rx vs H availability strength initiating heroin with Rx OUD	Rx vs H availability strength initiating NDHU with Rx	Social influence strength developing HUD	Social influence strength developing Rx OUD	Social influence strength initiating heroin with Rx OUD	Social influence strength initiating NDHU no Rx	Social influence strength initiating NDHU with Rx	Social influence strength initiating Rx misuse	Time to stabilize remission	Tx seeking rate Rx OUD no H total
12	0.99	1.0	0.98928471	0.9763992668000001	0.12260599360000002	0.6215428484000001	0.02897072544	0.8	4.2063808	0.95	1.104774908	0.19651188479999995	2.0	1.2	1.2	1.2	1.2	1.2	1.1937354960000002	0.9988177671999998	0.8815556543999999	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.1769519	1.2	1.2	121174.62	1978699.616	0.01502846	5.0	0.036064078439999994	0.1668321012	0.2	0.5	0.20628793	0.5	0.00035336928999999995	0.16266477799999998	0.4688288683999999	0.010291788199999995	0.29218078880000004	0.009759412896	0.9341313096	0.28473431120000003	0.6669501332	0.4671404899999998	0.5	0.34011391	0.4353835628	0.616233102	0.8169288952	0.5603343543999999	2.0	1.7621534879999998	0.7030058335999999	0.654654968	2.0	0.2778782284	0.1896418024	0.56833173	0.7933508804	2.0	0.32410865520000004	2.0	1.5812584599999997	11.15975328	0.93553873
13	True	1e-06	0.98371643	0.97396086	0.054043526	0.62250041	0.029071666	0.77933392	2.0438839	0.92082333	0.077791981	0.015064506	1.297071	1.1253038999999998	1.1656345	1.001015	1.2	1.0251415	1.0119045	0.80287072	0.85495871	1.138441	0.98001294	1.2	0.80494344	0.96391067	0.96100067	1.2	1.1407039	1.2	0.80903944	1.1486016	1.1856108	114947.29	1843443.1	0.013011948	4.3010749000000015	0.040169789	0.046714765	0.12268892	0.5	0.151212	0.47659035	0.00033610197	0.17889897	0.27416763	0.0030064764000000003	0.24789209	0.008322710300000001	0.85278708	0.30464412	0.54779672	0.8774098	1e-06	0.040505309	0.11769846	0.37631775	0.5735719	0.14019736	1.0305998	1.3852692	0.42765149	0.70942241	1.0758675	0.036439745	0.21651965	0.026436673	0.029466292	1.7975668000000002	0.22058485	1.6344148	0.8039566999999999	10.129667	0.70551479
13	Value	1.0017e-06	0.9653520000000001	0.973194	0.0693276	0.7216229999999999	0.0205527	0.799862	2.3058799999999997	0.946493	1.04521e-06	0.122077	1.38799	1.1274600000000001	1.2	0.994657	1.17934	1.1678	1.0383799999999999	0.8	0.8	0.933866	1.2	1.0780399999999999	0.904214	0.8	0.8	1.03724	1.11106	1.18468	0.8	0.8	1.2	98825.1	1916360.0	0.013015899999999999	4.8654	0.0411046	0.0780726	0.11209200000000001	0.493803	0.151539	0.275988	0.000337118	0.134389	0.25	0.001	0.254681	0.00875006	1.03968	0.285171	0.566408	0.9149010000000001	0.5	1.00717e-06	1e-06	0.22751300000000002	0.6312840000000001	0.29470599999999997	1.5533	0.126872	0.455977	6.606510000000001e-06	0.624969	1e-06	0.206627	0.0424646	0.86819	2.0	0.315021	1.95091	0.6292409999999999	9.715530000000001	0.427835
13	0.01	1e-06	0.9420317581000001	0.9619540538	0.05	0.4807251663	0.016076479140000002	0.6990604006000001	2.0	0.9202954398	1e-06	1e-06	0.94304508	0.982882597	1.029026333	0.8	0.8	0.8	0.8488482729000001	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	1.160367855	89473.20502000002	1800000.0	0.011587135949999999	4.52936318	0.033640701739999994	0.018156870749999998	0.010386622600000001	0.3226559252	0.12559391949999998	0.1	0.000320921742	0.09142985714	0.25	0.001	0.17582454339999998	0.006126043987	0.9450978062	0.1182249597	0.41688314270000004	0.6328262014	1e-06	1e-06	1e-06	1e-06	0.4817497905000001	0.1195427103	1.0194528	1e-06	1e-06	1e-06	0.12250372	1e-06	0.008089339882999999	1e-06	0.3740161857000001	1.8615332	0.0009584377964	1.807143468	0.2221545271	8.596622895000001	0.26164201870000003
13	0.025	1e-06	0.946288508	0.96541617	0.05	0.5420981137499999	0.016770285	0.7304060557500001	2.0	0.92446936475	1e-06	1e-06	1.0399545	1.0059337	1.050766	0.8	0.8047079975	0.8	0.8728955764999999	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	1.16837847	90676.282575	1800000.0	0.0117358175	4.5747051475000005	0.034747100775000005	0.031411669	0.024674588975	0.35121368	0.13015413625	0.1	0.00032447903875	0.096852835725	0.25	0.001	0.19414350375	0.0067035999875	0.96234480875	0.14492015	0.436776186	0.67393934	1e-06	1e-06	1e-06	0.032675646025000005	0.5073342905	0.13801476	1.07616416	1e-06	1e-06	1e-06	0.20873706875	1e-06	0.031394530675	1e-06	0.470846793	1.886312865	0.02664887	1.83837835	0.28353539575	8.769909199999999	0.30303127325
13	0.05	1e-06	0.952487097	0.9673868585	0.05	0.57828781	0.01732295635	0.7492874584999999	2.0	0.927495375	1e-06	1e-06	1.1254947	1.02603101	1.076346475	0.8	0.8283733595	0.8170659259999999	0.8960482015000001	0.8	0.8	0.820772937	0.8090654845	0.8129518535	0.80558711	0.8	0.8	0.8	0.8046527645000001	0.8	0.8	0.8	1.1727936	91614.26165	1800000.0	0.011878696	4.6221135	0.035716671250000005	0.046016332	0.03351429025	0.37066293299999997	0.13495641449999998	0.1	0.0003275413595	0.104505117	0.25	0.001	0.20374201600000003	0.00719471578	0.976027485	0.16709798	0.4519569485	0.712639598	1e-06	1e-06	1e-06	0.05790712200000001	0.5249310810000001	0.16212128	1.14288208	1e-06	0.008572253190000005	1e-06	0.282793062	1e-06	0.056988955800000025	1e-06	0.5346607865	1.90355708	0.05714818400000001	1.864619695	0.34228084099999995	8.92159682	0.33309979300000003
13	0.1	1e-06	0.958972515	0.969061112	0.05	0.61073846	0.0178285678	0.7700161759999999	2.0	0.930736739	1e-06	0.01816926310000001	1.2387079	1.05279495	1.10036019	0.8076267420000001	0.863507389	0.8442945879999999	0.9230663709999999	0.8	0.8	0.8536403850000001	0.8438276900000001	0.8425590820000001	0.8346023610000001	0.81072477	0.8008034209999999	0.824874815	0.834186442	0.8254418520000001	0.8	0.8114831929999999	1.1785118	92977.905	1800000.0	0.012064406399999998	4.67226747	0.036955707	0.0640173103	0.047493969800000015	0.388469012	0.13946939800000002	0.11760769300000001	0.00033064806000000004	0.11388022	0.25	0.0010240555100000002	0.21435661	0.007762698	0.993256525	0.19532788	0.470238704	0.7573505570000001	0.022349425099999997	1e-06	1e-06	0.09750404620000007	0.544323962	0.194431436	1.24378677	1e-06	0.04391854710000002	0.00031160479	0.37147975299999997	0.003042662440000002	0.088657617	1e-06	0.644292677	1.92238034	0.10250257000000003	1.89207241	0.4214991610000001	9.07263821	0.36263524
13	0.25	0.0440291975	0.967016	0.9712826775	0.051106413	0.6661771525	0.01873174275	0.78726375	2.021874	0.93643326	0.03648215825	0.07977339650000001	1.4295495	1.093035075	1.138316725	0.85192168	0.94490637	0.9166597375	0.9838772825	0.8102289275	0.8020053899999999	0.9319888975	0.92150602	0.913520105	0.9050340825	0.8602075550000001	0.8424173275	0.89270905	0.910566815	0.89112558	0.8044136075	0.85735046	1.186767825	95076.7485	1821387.1	0.012407418	4.7642379	0.038901355	0.09135235425	0.07411702375000001	0.42436563	0.14712987	0.17813002	0.00033645979	0.13156466249999998	0.25809380000000004	0.0014154836	0.23249734	0.008430935550000001	1.0254382	0.24991362	0.5015303025	0.83589371	0.1074297925	0.022244675	0.005869225225	0.16756844	0.575723615	0.2636381625	1.45157625	0.0344972995	0.19622552	0.0282329345	0.51630933	0.02096747725	0.13670713	0.018263997	0.8210047675000001	1.954336425	0.1936993825	1.93179275	0.5586804425	9.378369275	0.4159832225
13	0.5	0.14474606	0.972459455	0.9732841999999998	0.054723641	0.7300834700000001	0.0196242705	0.7954860500000001	2.07767225	0.942122245	0.1214549	0.18945871	1.6406477	1.14401075	1.1710733999999998	0.934467135	1.0455377	1.0243314	1.0399606	0.839973255	0.80711455	1.04571375	1.03795825	1.01737515	0.993915755	0.94932862	0.90911872	1.0004765	1.0064648	0.995471615	0.8155454000000001	0.934432965	1.1942843	97414.5245	1880407.75	0.012777794499999998	4.8653538	0.041109256000000004	0.120207845	0.10805607	0.460332875	0.15569476	0.27675204499999995	0.00034336994	0.14562206500000002	0.28394642000000003	0.0021243661499999998	0.25161941	0.0088407995	1.0578625500000003	0.31044873	0.5460603049999999	0.92711035	0.250187905	0.07074625650000001	0.0246081965	0.24702304000000005	0.6125087300000001	0.34470736	1.6795606	0.119702395	0.3450643	0.08770485199999999	0.68115414	0.050571332	0.1952631	0.0572209825	0.962962525	1.97939365	0.30349278	1.9652459	0.7007259299999999	9.6694119	0.489056075
13	0.75	0.3097295525	0.97642054	0.975099685	0.0624344185	0.78843432	0.02063979375	0.79919366	2.190268425	0.9467935225	0.254799545	0.32280203	1.827562375	1.1850971500000005	1.191394975	1.044525675	1.1334137	1.1293440499999998	1.1014733	0.89024303	0.8158726725000001	1.138051	1.132378725	1.119726225	1.101776725	1.054926475	0.9957179875	1.1030310250000002	1.10094865	1.1033148000000002	0.8344598599999999	1.031931775	1.198449875	99457.27	1954200.3	0.013136707749999999	4.9468041750000005	0.043433456	0.148802115	0.14571247499999998	0.48395578	0.16556967	0.3896342425	0.00035023293	0.15626744	0.32887939	0.0031730221750000003	0.26998740000000004	0.009099316675	1.09270435	0.3742242775	0.5958473325	1.0244380249999998	0.39999037	0.13468954	0.054467178500000005	0.31597957	0.6485058000000001	0.4322349675	1.8719569999999999	0.267296975	0.4764788625	0.17061358	0.8322288000000001	0.096298476	0.253596225	0.115704555	1.0806462499999998	1.9940402	0.40945184	1.9878756	0.8578049525000001	10.01103	0.59686251
13	0.9	0.498114162	0.97996038	0.9764054590000001	0.074759619	0.8430126240000001	0.0220028227	0.8	2.37009479	0.949556132	0.397763139	0.471450277	1.94965073	1.2	1.2	1.1376104999999999	1.1857238600000002	1.18197837	1.15787749	0.9478565490000002	0.8272850310000001	1.19168478	1.18514467	1.18162837	1.1686297	1.14325647	1.0893906999999998	1.1714216	1.16273657	1.17263866	0.85764219	1.11971076	1.2	101406.959	2030595.03	0.0134550745	4.991442	0.0454840878	0.17684228600000002	0.17728773	0.497524602	0.173643852	0.46803913	0.00035640263999999996	0.163883255	0.385391678	0.0042037826899999995	0.285811967	0.00927029626	1.12875486	0.42648882	0.63911682	1.1034267	0.476868898	0.210786022	0.10382687999999997	0.3795671950000001	0.6833480089999999	0.4973161300000001	1.97326296	0.4583459120000001	0.58236414	0.263948271	0.97016324	0.146370418	0.304006326	0.189548351	1.1924339899999998	2.0	0.5064613740000001	2.0	1.0185944	10.3259176	0.7263468770000001
13	0.95	0.6073233499999997	0.98221042	0.9771711	0.086250141	0.8803653109999999	0.0230845707	0.8	2.4996658	0.95	0.4972230864999999	0.57031805	1.99475479	1.2	1.2	1.1718676	1.2	1.2	1.181234035	0.996551598	0.83486982	1.2	1.2	1.2	1.1989912	1.182086235	1.139771565	1.197492265	1.18823893	1.196317885	0.8717453400000001	1.164773405	1.2	102615.743	2081555.34	0.01366056585	5.0	0.047056598150000004	0.1908644535	0.19162457049999992	0.5	0.17733907499999998	0.4953564365	0.000359968064	0.1683867945	0.43773461	0.0048158387	0.296690357	0.00937567648	1.146965935	0.4648304475	0.6659828395	1.15990547	0.5	0.2632773629999999	0.1393634065	0.4201618979999999	0.70734383	0.5330823145	2.0	0.5968437184999996	0.6533915369999995	0.30909697449999995	1.0589625299999996	0.17048255	0.3314199045	0.24132371949999995	1.2493191	2.0	0.5702439609999999	2.0	1.0899887	10.53669325	0.8090994464999999
13	0.975	0.7252619189999998	0.98426427	0.977924473	0.10156154524999997	0.9156429355	0.023981439024999995	0.8	2.5944003525	0.95	0.5694078367499998	0.6406193645	2.0	1.2	1.2	1.1923424625	1.2	1.2	1.1957173	1.03996645	0.8436292864999998	1.2	1.2	1.2	1.2	1.2	1.1750553025	1.2	1.2	1.2	0.8829585877499999	1.1895430225	1.2	103746.38900000001	2120461.4575	0.01378273175	5.0	0.0480436467	0.2023034095	0.19914359	0.5	0.18185673	0.5	0.0003632198190000001	0.1721652605	0.5066897869999992	0.005317198662500001	0.3067264337499999	0.0094427649	1.1624678649999998	0.4921311037499999	0.6896362847499999	1.2120715725000002	0.5	0.3156521872499998	0.1881142125	0.45763904	0.7268130512500001	0.5702020637499999	2.0	0.7165943994999998	0.7145760979999998	0.3624144524999999	1.1356194	0.1898623794999999	0.364542931	0.292192662	1.3050656625	2.0	0.6204523164999999	2.0	1.1256258	10.7064405	0.8855720994999998
