	1999	1999.25	1999.5	1999.75	2000	2000.25	2000.5	2000.75	2001	2001.25	2001.5	2001.75	2002	2002.25	2002.5	2002.75	2003	2003.25	2003.5	2003.75	2004	2004.25	2004.5	2004.75	2005	2005.25	2005.5	2005.75	2006	2006.25	2006.5	2006.75	2007	2007.25	2007.5	2007.75	2008	2008.25	2008.5	2008.75	2009	2009.25	2009.5	2009.75	2010	2010.25	2010.5	2010.75	2011	2011.25	2011.5	2011.75	2012	2012.25	2012.5	2012.75	2013	2013.25	2013.5	2013.75	2014	2014.25	2014.5	2014.75	2015	2015.25	2015.5	2015.75	2016	2016.25	2016.5	2016.75	2017	2017.25	2017.5	2017.75	2018	2018.25	2018.5	2018.75	2019	2019.25	2019.5	2019.75	2020
DataVar[InRM]	287039	307778	328517	349256	369995	367459	364923	362387	359851	357052	354253	351454	348655	353764	358874	363984	369093	367816	366538	365261	363984	355380	346776	338173	329569	328141	326714	325286	323858	324009	324159	324309	324459	325587	326714	327841	328968	329118	329268	329419	329569	322806	316044	309281	302518	297822	293126	288429	283733	283432	283132	282831	282531	269719	256908	244096	231284	227001	222718	218435	214152	278977	317023	328290	312780	313258	313736	314214	314693	309948	305203	300459	295714	291962	288211	284459	280708	269637	258566	247495	236424	219260	202096	184932	167768
DataVar[InRT]	1909999	2047998	2185997	2323996	2462005	2445129	2428253	2411377	2394501	2375872	2357253	2338624	2320005	2354004	2388004	2422004	2456003	2447496	2438998	2430501	2422004	2364750	2307496	2250253	2192999	2183501	2174004	2164496	2154998	2155999	2156999	2157999	2158999	2166497	2174004	2181501	2188998	2189998	2190998	2191999	2192999	2147996	2103004	2058001	2012998	1981752	1950496	1919249	1888003	1886002	1884002	1882001	1880001	1794749	1709498	1624246	1539004	1510501	1481998	1453495	1425002	1477987	1504203	1503640	1476290	1478548	1480806	1483064	1485323	1462928	1440533	1418139	1395744	1378032	1360331	1342619	1324918	1272657	1220407	1168154	1115900	1034887	953875	872862	791849
DataVar[NDHU]	356879	360356	363832	367308	370785	437390	503996	570602	637208	590657	544106	497554	451003	425730	400456	375182	349908	361785	373662	385539	397416	410044	422673	435301	447930	490093	532257	574421	616585	542678	468771	394865	320958	349997	379035	408073	437112	495035	552958	610880	668803	615287	561770	508253	454737	445920	437104	428288	419471	418295	417119	415943	414767	434603	454438	474274	494109	588676	683242	777809	872376	797116	721856	646596	571335	643466	715597	787728	859859	846218	832577	818936	805295	806112	806928	807745	808562	814650	820737	826825	832913	919545	1006180	1092810	1179440
DataVar[ODHC]	2870.76	2807.74	2744.72	2681.7	2618.68	2562.58	2506.48	2450.38	2394.28	2465.67	2537.06	2608.45	2679.84	2661.46	2643.07	2624.69	2606.3	2514.01	2421.72	2329.42	2237.13	2260.54	2283.95	2307.37	2330.78	2313.87	2296.97	2280.06	2263.16	2371.72	2480.27	2588.83	2697.38	2881.45	3065.51	3249.58	3433.64	3479.04	3524.44	3569.84	3615.24	3535.05	3454.85	3374.65	3294.46	3674.57	4054.68	4434.79	4814.9	5221.6	5628.3	6035	6441.69	7004.16	7577.44	8274.72	8974.96	9963.97	10954.7	11946.6	12939.3	14202.6	15467.1	16732.3	17998	20363.3	22728.8	25094.1	27459	29172.8	30888.4	32604.4	34320.7	34650.5	34981.1	35312.1	35643.8	36758.3	37872.6	38987.2	40102.1	44938.1	49772.6	54605.8	59438
DataVar[ODRB]	4098.12	4239.92	4381.73	4523.53	4665.33	4945.06	5224.79	5504.51	5784.24	6223.89	6663.53	7103.17	7542.82	7800.67	8058.53	8316.38	8574.24	8814.46	9054.69	9294.91	9535.14	9785.05	10035	10284.9	10534.8	10954.4	11374	11793.7	12213.3	12497.5	12781.7	13065.9	13350.2	13408.9	13467.7	13526.5	13585.2	13574.5	13563.8	13553.1	13542.4	13784.1	14025.7	14267.4	14509.1	14644.1	14779.1	14914.1	15049.1	14750.5	14451.9	14153.3	13854.8	13642.7	13430.6	13218.6	13006.5	12937	12867.5	12798	12728.6	12610.1	12491.6	12373.1	12254.5	12224.1	12193.6	12163.1	12132.6	11810.3	11487.9	11165.6	10843.2	10350.4	9857.48	9364.59	8871.71	8562.22	8252.72	7943.23	7633.73	7553.15	7472.56	7391.98	7311.39
DataVar[ODRT]	5156.7	5308.37	5460.05	5611.72	5763.39	6090.26	6417.12	6743.98	7070.84	7604.92	8139	8673.07	9207.15	9486.68	9766.21	10045.74	10325.27	10624.51	10923.75	11222.98	11522.23	11782.7	12043.22	12303.68	12564.14	13219.35	13874.55	14529.85	15185.06	15348.12	15511.18	15674.24	15837.4	15920.01	16002.73	16085.45	16168.07	16325.72	16483.38	16641.03	16798.68	17042.77	17286.76	17530.84	17774.93	17819.86	17864.79	17909.72	17954.65	17635.34	17316.03	16996.72	16677.52	16544.17																															
DataVar[ODSB]	1058.58	1068.45	1078.32	1088.19	1098.06	1145.2	1192.33	1239.47	1286.6	1381.03	1475.47	1569.9	1664.33	1686.01	1707.68	1729.36	1751.03	1810.05	1869.06	1928.07	1987.09	1997.65	2008.22	2018.78	2029.34	2264.95	2500.55	2736.15	2971.76	2850.62	2729.48	2608.34	2487.2	2511.11	2535.03	2558.95	2582.87	2751.22	2919.58	3087.93	3256.28	3258.67	3261.06	3263.44	3265.83	3175.76	3085.69	2995.62	2905.55	2884.84	2864.13	2843.42	2822.72	2901.47																															
DataVar[ODTo]	8063	8151.75	8240.5	8329.25	8418	8689	8960	9231	9502	10108	10714	11320	11926	12186.3	12446.5	12706.8	12967	13172	13377	13582	13787	14080	14373	14666	14959	15616.5	16274	16931.5	17589	17832.5	18076	18319.5	18563	18834	19105	19376	19647	19853.5	20060	20266.5	20473	20637.5	20802	20966.5	21131	21560	21989	22418	22847	22941.8	23036.5	23131.3	23226	23698.3	24170.5	24642.8	25115	26016	26917	27818	28719	29840	30961	32082	33203	35510.5	37818	40125.5	42433	43795.3	45157.5	46519.8	47882	47685.5	47489	47292.5	47096	47866.5	48637	49407.5	50178	54898.8	59619.5	64340.3	69061
DataVar[RMis]	5590140	5589250	5588360	5587470	5586580	5923270	6259960	6596660	6933350	7506340	8079330	8652320	9225310	9419760	9614210	9808660	10003100	9849660	9696210	9542760	9389310	9469340	9549370	9629400	9709430	9829960	9950490	10071000	10191600	10216800	10242000	10267200	10292400	10168100	10043800	9919440	9795120	9837790	9880470	9923140	9965810	9930230	9894650	9859070	9823490	9566310	9309130	9051940	8794760	9070640	9346510	9622390	9898270	9559540	9220820	8882090	8543370	8321180	8098990	7876800	7654610	7526320	7322500	7043160	6688290	6541090	6393890	6246690	6099490	6029290	5959100	5888910	5818720	5694410	5570100	5445790	5321470	5344960	5368450	5391940	5415430	5187160	4958890	4730620	4502340
DataVar[ROUD]	770417	767183	763948	760714	757479	845383	933287	1021190	1109100	1248300	1387510	1526710	1665920	1644000	1622080	1600160	1578240	1635240	1692250	1749260	1806260	1793340	1780430	1767510	1754590	1758160	1761720	1765290	1768850	1818470	1868080	1917700	1967310	1953710	1940110	1926500	1912900	1944430	1975970	2007510	2039040	2064410	2089770	2115140	2140500	2080020	2019540	1959060	1898580	1999270	2099960	2200650	2301340	2209960	2118570	2027190	1935810	1955760	1975710	1995660	2015610	2057120	2098640	2140150	2181670	2181000	2180330	2179650	2178980	2085420	1991850	1898280	1804720	1799210	1793710	1788200	1782700	1732330	1681960	1631590	1581220	1692470	1803720	1914960	2026210
