ADF effect strength initiating heroin with Rx OUD	Base survival probability H OD relative to Rx	Base survival probability Rx OD	Developing HUD rate no Rx OUD 	Developing HUD rate with Rx OUD 	Developing Rx OUD rate 	Fentanyl effect on base survival max relative to H	Fentanyl effect on OD rate H max	Fraction Nx kits to H users 	Heroin availability strength developing HUD	Heroin availability strength initiating NDHU no Rx	Heroin availability strength net quit NDHU	Initial stock correction[RXM]	Initial stock correction[NDH]	Initial stock correction[OUB]	Initial stock correction[OUM]	Initial stock correction[OUV]	Initial stock correction[OUT]	Initial stock correction[OUR]	Initial stock correction[OUS]	Initial stock correction[OHB]	Initial stock correction[OHM]	Initial stock correction[OHV]	Initial stock correction[OHT]	Initial stock correction[OHR]	Initial stock correction[OHS]	Initial stock correction[HUB]	Initial stock correction[HUM]	Initial stock correction[HUV]	Initial stock correction[HUT]	Initial stock correction[HUR]	Initial stock correction[HUS]	Initiating heroin no Rx base 	Initiating Rx misuse diverted base 	Initiation rate heroin with Rx misuse 	Initiation rate heroin with Rx OUD relative to Rx misuse	Initiation rate Rx misuse own Rx 	Net quit rate heroin with Rx misuse 	Net quit rate heroin with Rx OUD 	Net quit rate NDHU 	Net quit rate Rx misuse	NSDUH misuse redefinition fixed effect	Nx kit distribution efficiency	Overdose rate base HUD	Overdose rate NDHU relative to HUD	Overdose rate base Rx misuse	Overdose rate base Rx OUD	Overdose rate synth baseline	Perceived risk strength initiating heroin with Rx use	Perceived risk strength initiating NDHU no Rx	Perceived risk strength initiating Rx misuse diverted	Perceived risk strength initiating Rx misuse own Rx	Perceived risk strength net quit heroin with Rx OUD	Perceived risk strength net quit NDHU	Perceived risk strength net quit NDHU with Rx	Perceived risk strength net quit Rx misuse	Relapse rate HUD	Relapse rate Rx OUD relative to HUD	Remission rate Rx OUD relative to HUD	Rx availability strength developing Rx OUD	Rx availability strength initiating Rx misuse	Rx availability strength net quit Rx misuse	Rx vs H availability strength developing HUD with Rx OUD	Rx vs H availability strength initiating heroin with Rx OUD	Rx vs H availability strength initiating NDHU with Rx	Social influence strength developing HUD	Social influence strength developing Rx OUD	Social influence strength initiating heroin with Rx OUD	Social influence strength initiating NDHU no Rx	Social influence strength initiating NDHU with Rx	Social influence strength initiating Rx misuse	Time to stabilize remission	Tx seeking rate Rx OUD no H total
1e-06	0.98664001	0.97451536	0.063709082	0.54444303	0.029132089	0.77118067	2.020737	0.92224302	0.051606601	0.10021537	1.5498639	1.142385	1.1701367	0.9433344	1.1305108999999998	1.0600808000000002	0.9972994	0.80100375	0.81904192	0.9227745	0.80711585	1.0737803	1.1220354	0.97272709	0.81455727	0.9371835	1.1951445	0.97604547	0.81139394	1.0688713	1.2	119993.59	1884192.9	0.012992756	4.5369117	0.031848182	0.080638349	0.2	0.5	0.13612957	0.42600286	0.00036763835	0.19578262	0.26869388	0.0021968256	0.26064912	0.0084342264	0.96722325	0.34955548	0.56571688	0.5580396	1e-06	0.00672346	0.043141666	0.61577308	0.52525488	0.1282115	1.010362	1.0959968999999998	0.38113875	0.97755656	1.1712505	0.0041370370000000005	0.25340695	0.012810169	0.02514453	1.9377228	0.12957542	1.8206065	0.77300894	9.8210551	0.7153774
1e-06	0.98816986	0.97217527	0.052979768	0.5939272	0.025907245	0.78373361	2.0212394	0.91894936	0.059104223	0.023729221	1.5302174	1.1840494	1.1971446	1.2	0.96473083	0.83457208	1.1044475	0.82933249	0.84139044	0.93971515	1.088546	0.8	1.1019487	0.84850416	0.9502604	0.8002014000000001	1.1459998	1.1587678999999995	0.81852657	1.1683334	1.1872261999999998	118657.93	1800000.0	0.013531884	4.1872849	0.039885899	0.12081864	0.07069081	0.48169615	0.17292659	0.4099487	0.00033999507000000005	0.19495529	0.26767367	0.0014046873	0.23433693	0.0085168808	0.97542065	0.40225459	0.48247785	0.81431724	0.31286511	0.031961483	0.020886323	0.45081046	0.63051917	0.18488082	1.2038595	1.4129838	0.04431909	0.91921401	1.0237408	0.06351495	0.25097686	0.01596969	0.021359282	1.8987132	0.33087531	1.8451989	1.0282363	9.921337800000002	0.432653
0.18929272	0.98771497	0.97298278	0.053895107000000005	0.60209334	0.024506807	0.76745233	2.0424021	0.9225897	0.017118877	0.0084811174	1.3570829	1.1957393	1.1813893999999998	0.97808375	1.0259041	1.093542	1.1356434	0.81715416	0.84565975	0.99649843	0.8	0.80172759	1.1106993	1.1539819	0.82073563	0.84981047	1.2	0.84990875	0.8	1.2	1.2	120489.59	1800000.0	0.013489853	4.6139518	0.0356561	0.081993243	0.14923857	0.49081183	0.17888894	0.46614145	0.00034864517999999995	0.19912451	0.25	0.0026703052	0.240512	0.008581511600000001	1.0568382	0.49479466	0.45000087	0.90225278	0.19272167	0.0069607235	1e-06	0.48962876	0.58977781	0.14160194	1.0691687	1.3128175	0.004999857	1.0321421999999998	1.0891343	0.0054734721	0.38946693	1e-06	0.07430646099999999	1.9807305	0.47103045	1.8976334	0.97718344	9.9320425	0.43416236
0.49614466	0.98941071	0.97328181	0.052596683	0.55461026	0.030035999	0.78079613	2.0948606	0.92707327	1e-06	0.015206145	1.5856721	1.1744083	1.19966	0.91895035	0.9002290000000001	1.0945872	0.86882195	0.81849673	0.8	0.9999055	1.1848333	0.8	1.1664049	0.90987247	1.1332229	1.132527	1.1727019	1.04477	0.8058574000000001	1.1032362	1.1519275	122498.43	1810777.4	0.01229838	5.0	0.036957775	0.11923816	0.09416051	0.48105178	0.14480075	0.46187076	0.00034454717000000003	0.19088579	0.27849569	0.0014344064000000002	0.2520054	0.008909988399999999	0.90558949	0.26616885	0.44049547	0.74953431	0.27778385	0.011519623	0.072381244	0.54448752	0.6635254	0.20134871	1.2743225	1.0933071	0.11660727	1.3337473	1.0748214	0.0079756513	0.22222989	1e-06	0.042433234000000014	1.8071183	0.10694941	1.8784042	1.0708278999999998	9.8669035	0.31254556
0.010991046	0.98217371	0.97316509	0.06092911	0.55414305	0.02470566	0.75563074	2.0082716	0.92241422	1e-06	0.006027724	1.9915442	1.1995790000000002	1.169043	0.9738947	1.1020181	0.85273982	1.1461927	0.8	0.80153375	0.91411277	0.81279508	1.1493286	1.1808928	1.0504444	0.83452719	0.94545273	1.1434514	0.9239891	0.80019023	0.98089996	1.1855882	118828.61	1802393.4	0.0141181	4.100296299999999	0.034706222	0.13741759	0.14726106	0.48344434	0.19208702	0.41956	0.0003771527	0.18528238	0.25890892	0.0023839271	0.23729913	0.0075485379	0.95622475	0.38236649	0.47084674	0.59432318	1e-06	0.040584594	0.013718213	0.30273248	0.4924992	0.2539322	1.231492	1.4871515	1e-06	0.64293305	1.5966971	0.041335889	0.22866482	0.013806738	0.032692606	1.9176312	0.28358677	1.7288433	1.2376913	8.9214949	0.60353154
0.048598242	0.98202115	0.97550198	0.05	0.57985107	0.027758643	0.75441482	2.0583729	0.937422	0.007958134399999999	0.1132781	1.5807884	1.1912967	1.1938794	1.0515603	1.012668	1.0432395	1.0237489	0.81529418	0.8	0.8	1.2	1.0147735	0.86363415	0.8	1.1115889	1.1754921	1.2	0.82977589	0.80263337	1.1647819	1.1542121	121383.9	1801731.6	0.013150941	4.3245066	0.030910438	0.13048364	0.095255653	0.42314288	0.16047639	0.3721324	0.00035118678	0.18397592	0.2536864	0.0014654514	0.27503282	0.0077322941	0.93324589	0.28959455	0.42799574	0.27760447	0.34622368	0.003085453	0.04624227	0.53713445	0.5814199999999999	0.17765725	1.1704964	1.1616163000000002	0.097215849	0.77023969	1.2367105	1e-06	0.27092102	0.01717315	0.042746208	1.9367987	0.10129333	1.7535116999999998	1.0894569	9.2219433	0.77444249
0.11560494	0.98335008	0.97457168	0.062914298	0.51350834	0.025711209	0.77503198	2.0115703000000003	0.91784478	1e-06	0.016026893	1.7681839	1.2	1.1897133	1.0074123	1.0737677	0.85395169	1.0887919	0.82968985	0.81296661	0.81980522	0.92505162	1.1615394	1.2	0.82254226	0.8415800999999999	0.88507167	1.1520657	0.8550893	0.8081126999999999	0.96040486	1.2	116473.48	1800000.0	0.013867945	4.3293221	0.037902077	0.13230899999999998	0.14757575	0.47786757	0.18775144	0.41900039	0.00035730683	0.2	0.25126407	0.0031327187	0.2511869	0.0080873684	0.96657411	0.40934691	0.48995994	0.69728096	0.14758406	0.025781897	0.011051146	0.26839008	0.49066338	0.230339	1.1708913	1.3392283	0.006997543100000001	0.55819338	1.7088487	0.015703727	0.27306708	0.012160475	0.025274017000000003	1.9674868000000003	0.31062291	1.8110021	1.2857901000000005	9.6430404	0.61721138
0.32629782	0.98586228	0.97293492	0.051218357	0.6554673000000001	0.025854384	0.76923367	2.029996	0.9258136	0.044405093	0.079576243	1.2900696000000005	1.2	1.1537381000000002	1.0251213	0.8	0.97530904	1.0702308	0.83707902	0.84799672	1.2	0.88597433	0.8	1.1909591	1.0460928	0.80084115	0.8	1.1760324	0.8	0.80527329	1.1436558	1.1935988000000002	116625.62	1800000.0	0.013987523	4.2535656	0.036174876	0.086861639	0.10416079	0.5	0.17529693	0.411553	0.00035574633000000003	0.19261982	0.26028588	0.0020338847	0.24453026	0.0086036899	1.0051696	0.32769553	0.47659337	0.89310723	0.07624623	0.0069546155000000005	0.010970175	0.33675656	0.50543698	0.20401998	1.1289493	1.4769861	0.01724152	0.80379639	0.85711546	1e-06	0.30220663	0.015860978	1e-06	2.0	0.13860551	1.8405699	1.1159821	10.087626	0.45040153
0.3204284	0.96284398	0.97610302	0.056696969000000014	0.54833222	0.026348727	0.60609169	2.0666823	0.94807182	0.046524764	0.024367209	1.8479328	1.1041881000000002	1.1884818	1.1113141000000002	1.0305507	0.98811832	1.1301304	0.82027396	0.82506418	0.8	1.13055	0.90263865	0.97994995	0.84737085	0.93005275	0.88649753	1.1412451	1.092159	0.80105952	1.2	1.1897229	122036.09	1901267.1	0.012861182	4.432557900000001	0.036100897	0.11262542	0.10711764	0.49261298	0.16306163	0.46644025	0.00034301562000000013	0.11423211	0.25372643	0.001242649	0.28124176	0.0051787892	0.8566642	0.25530904	0.71001408	0.74319444	0.33665889	0.0068713788	0.017819891	0.51647017	0.63536019	0.1963188	1.1990685	1.3518605	0.59279719	0.83034949	1.0889349	0.02386718	0.19535368	0.008790889100000001	0.034155454	1.8210197	0.077614764	1.7419477	0.73863015	10.240068	0.6218279000000001
0.073749541	0.97352642	0.97296495	0.052860503	0.63524107	0.027104504	0.69815054	2.0	0.9362617	0.12796387	0.019125629	1.4527504	1.1795976	1.1912409	0.99020458	0.9446989	0.88127506	0.96533736	0.86414683	0.81535342	0.89479469	0.92405854	1.2	0.9722818	0.83445038	0.9514022	0.81108764	1.0747075	0.86635229	0.80937269	1.1533591	1.1858068000000002	119197.48	1871118.7	0.012534523999999998	4.5399298	0.033080853	0.096952547	0.10644992	0.49383525	0.14291253	0.39821728	0.00035001987	0.14426774	0.29052543	0.001	0.24833644	0.0061844763	0.99106229	0.32089268	0.45153496	0.52675849	0.044389114	0.012901814	0.010166389	0.63387943	0.57554265	0.17628324	1.1703555	0.97710176	0.098344107	1.24472	1.1010146	0.036097259	0.29354663	0.008019018000000001	0.1675738	1.956324	0.13269258	1.9229656	0.85097116	9.993288	0.72982711
